Mass Number,Atomic Number,Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (s)
001,000,1n,609.8,1.0,609.8
003,001,3H,388781328.32,1.0,388781328.32
006,002,6He,0.80692,1.0,0.80692
008,002,8He,0.11950000000000001,1.0,0.11950000000000001
008,003,8Li,0.8387000000000001,1.0,0.8387000000000001
009,003,9Li,0.1782,1.0,0.1782
010,004,10Be,43769456362000.0,1.0,43769456362000.0
011,003,11Li,0.00875,1.0,0.00875
011,004,11Be,13.76,1.0,13.76
012,004,12Be,0.02146,1.0,0.02146
012,005,12B,0.0202,1.0,0.0202
013,005,13B,0.01716,1.0,0.01716
014,004,14Be,0.00453,1.0,0.00453
014,005,14B,0.01236,1.0,0.01236
014,006,14C,179874478200.0,1.0,179874478200.0
015,005,15B,0.01018,1.0,0.01018
015,006,15C,2.449,1.0,2.449
016,006,16C,0.75,1.0,0.75
016,007,16N,7.13,1.0,7.13
017,005,17B,0.00508,1.0,0.00508
017,006,17C,0.193,1.0,0.193
017,007,17N,4.173,1.0,4.173
018,006,18C,0.092,1.0,0.092
018,007,18N,0.6192000000000001,1.0,0.6192000000000001
019,005,19B,0.00292,1.0,0.00292
019,006,19C,0.046200000000000005,1.0,0.046200000000000005
019,007,19N,0.336,1.0,0.336
019,008,19O,26.47,1.0,26.47
020,006,20C,0.016,1.0,0.016
020,007,20N,0.136,1.0,0.136
020,008,20O,13.51,1.0,13.51
020,009,20F,11.0062,1.0,11.0062
021,007,21N,0.085,1.0,0.085
021,008,21O,3.42,1.0,3.42
021,009,21F,4.158,1.0,4.158
022,006,22C,0.006200000000000001,1.0,0.006200000000000001
022,007,22N,0.023,1.0,0.023
022,008,22O,2.25,1.0,2.25
022,009,22F,4.23,1.0,4.23
023,007,23N,0.013900000000000001,1.0,0.013900000000000001
023,008,23O,0.097,1.0,0.097
023,009,23F,2.23,1.0,2.23
023,010,23Ne,37.15,1.0,37.15
024,008,24O,0.07740000000000001,1.0,0.07740000000000001
024,009,24F,0.384,1.0,0.384
024,010,24Ne,202.79999999999998,1.0,202.79999999999998
024,011,24Na,53841.6,1.0,53841.6
025,009,25F,0.08,1.0,0.08
025,010,25Ne,0.602,1.0,0.602
025,011,25Na,59.1,1.0,59.1
026,009,26F,0.008199999999999999,1.0,0.008199999999999999
026,010,26Ne,0.197,1.0,0.197
026,011,26Na,1.07128,1.0,1.07128
027,009,27F,0.005,1.0,0.005
027,010,27Ne,0.0309,1.0,0.0309
027,011,27Na,0.301,1.0,0.301
027,012,27Mg,566.1,1.0,566.1
028,010,28Ne,0.0188,1.0,0.0188
028,011,28Na,0.033100000000000004,1.0,0.033100000000000004
028,012,28Mg,75294.0,1.0,75294.0
028,013,28Al,134.70000000000002,1.0,134.70000000000002
029,009,29F,0.0025,1.0,0.0025
029,010,29Ne,0.0147,1.0,0.0147
029,011,29Na,0.0432,1.0,0.0432
029,012,29Mg,1.3,1.0,1.3
029,013,29Al,393.59999999999997,1.0,393.59999999999997
030,010,30Ne,0.00722,1.0,0.00722
030,011,30Na,0.045899999999999996,1.0,0.045899999999999996
030,012,30Mg,0.317,1.0,0.317
030,013,30Al,3.62,1.0,3.62
031,010,31Ne,0.0034,1.0,0.0034
031,011,31Na,0.016800000000000002,1.0,0.016800000000000002
031,012,31Mg,0.27,1.0,0.27
031,013,31Al,0.644,1.0,0.644
031,014,31Si,9429.6,1.0,9429.6
032,010,32Ne,0.0035,1.0,0.0035
032,011,32Na,0.0129,1.0,0.0129
032,012,32Mg,0.08040000000000001,1.0,0.08040000000000001
032,013,32Al,0.032600000000000004,1.0,0.032600000000000004
032,014,32Si,4954437382.0,1.0,4954437382.0
032,015,32P,1232841.6,1.0,1232841.6
033,011,33Na,0.008199999999999999,1.0,0.008199999999999999
033,012,33Mg,0.092,1.0,0.092
033,013,33Al,0.041460000000000004,1.0,0.041460000000000004
033,014,33Si,6.18,1.0,6.18
033,015,33P,2190240.0,1.0,2190240.0
034,011,34Na,0.0055,1.0,0.0055
034,012,34Mg,0.0449,1.0,0.0449
034,013,34Al,0.05373,1.0,0.05373
034,014,34Si,2.77,1.0,2.77
034,015,34P,12.43,1.0,12.43
035,011,35Na,0.0015,1.0,0.0015
035,012,35Mg,0.011300000000000001,1.0,0.011300000000000001
035,013,35Al,0.03816,1.0,0.03816
035,014,35Si,0.78,1.0,0.78
035,015,35P,47.3,1.0,47.3
035,016,35S,7548768.0,1.0,7548768.0
036,012,36Mg,0.0039,1.0,0.0039
036,013,36Al,0.09,1.0,0.09
036,014,36Si,0.503,1.0,0.503
036,015,36P,5.6,1.0,5.6
036,017,36Cl,9508101803800.0,0.981,9692254641997.96
037,013,37Al,0.0114,1.0,0.0114
037,014,37Si,0.14100000000000001,1.0,0.14100000000000001
037,015,37P,2.31,1.0,2.31
037,016,37S,303.0,1.0,303.0
038,013,38Al,0.009000000000000001,1.0,0.009000000000000001
038,014,38Si,0.063,1.0,0.063
038,015,38P,0.64,1.0,0.64
038,016,38S,10218.0,1.0,10218.0
038,017,38Cl,2233.7999999999997,1.0,2233.7999999999997
039,013,39Al,0.0076,1.0,0.0076
039,014,39Si,0.0412,1.0,0.0412
039,015,39P,0.28200000000000003,1.0,0.28200000000000003
039,016,39S,11.5,1.0,11.5
039,017,39Cl,3372.0,1.0,3372.0
039,018,39Ar,8457256168.0,1.0,8457256168.0
040,014,40Si,0.0312,1.0,0.0312
040,015,40P,0.15,1.0,0.15
040,016,40S,8.8,1.0,8.8
040,017,40Cl,81.0,1.0,81.0
040,019,40K,3.9383043648e+16,0.8928,4.411183204301075e+16
041,014,41Si,0.02,1.0,0.02
041,015,41P,0.101,1.0,0.101
041,016,41S,1.99,1.0,1.99
041,017,41Cl,38.4,1.0,38.4
041,018,41Ar,6576.6,1.0,6576.6
042,014,42Si,0.0125,1.0,0.0125
042,015,42P,0.0485,1.0,0.0485
042,016,42S,1.016,1.0,1.016
042,017,42Cl,6.8,1.0,6.8
042,018,42Ar,1038222865.4,1.0,1038222865.4
042,019,42K,44478.0,1.0,44478.0
043,015,43P,0.0358,1.0,0.0358
043,016,43S,0.265,1.0,0.265
043,017,43Cl,3.13,1.0,3.13
043,018,43Ar,322.2,1.0,322.2
043,019,43K,80280.0,1.0,80280.0
044,015,44P,0.0185,1.0,0.0185
044,016,44S,0.1,1.0,0.1
044,017,44Cl,0.562,1.0,0.562
044,018,44Ar,712.1999999999999,1.0,712.1999999999999
044,019,44K,1327.8,1.0,1327.8
045,016,45S,0.068,1.0,0.068
045,017,45Cl,0.41300000000000003,1.0,0.41300000000000003
045,018,45Ar,21.48,1.0,21.48
045,019,45K,1068.0,1.0,1068.0
045,020,45Ca,14049504.000000002,1.0,14049504.000000002
046,016,46S,0.05,1.0,0.05
046,017,46Cl,0.232,1.0,0.232
046,018,46Ar,8.4,1.0,8.4
046,019,46K,96.3,1.0,96.3
046,021,46Sc,7236604.800000001,1.0,7236604.800000001
047,017,47Cl,0.101,1.0,0.101
047,018,47Ar,1.23,1.0,1.23
047,019,47K,17.38,1.0,17.38
047,020,47Ca,391910.39999999997,1.0,391910.39999999997
047,021,47Sc,289370.88,1.0,289370.88
048,018,48Ar,0.41500000000000004,1.0,0.41500000000000004
048,019,48K,6.83,1.0,6.83
048,021,48Sc,157212.0,1.0,157212.0
049,018,49Ar,0.23600000000000002,1.0,0.23600000000000002
049,019,49K,1.26,1.0,1.26
049,020,49Ca,523.08,1.0,523.08
049,021,49Sc,3430.8,1.0,3430.8
050,018,50Ar,0.106,1.0,0.106
050,019,50K,0.47200000000000003,1.0,0.47200000000000003
050,020,50Ca,13.45,1.0,13.45
050,021,50Sc,102.5,1.0,102.5
051,019,51K,0.365,1.0,0.365
051,020,51Ca,10.0,1.0,10.0
051,021,51Sc,12.4,1.0,12.4
051,022,51Ti,345.59999999999997,1.0,345.59999999999997
052,019,52K,0.11,1.0,0.11
052,020,52Ca,4.6,1.0,4.6
052,021,52Sc,8.2,1.0,8.2
052,022,52Ti,102.0,1.0,102.0
052,023,52V,224.57999999999998,1.0,224.57999999999998
053,019,53K,0.03,1.0,0.03
053,020,53Ca,0.461,1.0,0.461
053,021,53Sc,2.4,1.0,2.4
053,022,53Ti,32.7,1.0,32.7
053,023,53V,92.58,1.0,92.58
054,019,54K,0.01,1.0,0.01
054,020,54Ca,0.09,1.0,0.09
054,021,54Sc,0.526,1.0,0.526
054,022,54Ti,2.1,1.0,2.1
054,023,54V,49.8,1.0,49.8
054,025,54Mn,26963798.400000002,0.009300000000000001,2899333161.2903223
055,020,55Ca,0.022,1.0,0.022
055,021,55Sc,0.096,1.0,0.096
055,022,55Ti,1.3,1.0,1.3
055,023,55V,6.54,1.0,6.54
055,024,55Cr,209.82,1.0,209.82
056,020,56Ca,0.011,1.0,0.011
056,022,56Ti,0.2,1.0,0.2
056,023,56V,0.216,1.0,0.216
056,024,56Cr,356.40000000000003,1.0,356.40000000000003
056,025,56Mn,9284.039999999999,1.0,9284.039999999999
057,021,57Sc,0.022,1.0,0.022
057,022,57Ti,0.095,1.0,0.095
057,023,57V,0.35000000000000003,1.0,0.35000000000000003
057,024,57Cr,21.1,1.0,21.1
057,025,57Mn,85.4,1.0,85.4
058,021,58Sc,0.012,1.0,0.012
058,022,58Ti,0.055,1.0,0.055
058,023,58V,0.191,1.0,0.191
058,024,58Cr,7.0,1.0,7.0
058,025,58Mn,3.0,1.0,3.0
059,022,59Ti,0.0285,1.0,0.0285
059,023,59V,0.095,1.0,0.095
059,024,59Cr,1.05,1.0,1.05
059,025,59Mn,4.59,1.0,4.59
059,026,59Fe,3844800.0,1.0,3844800.0
060,022,60Ti,0.0222,1.0,0.0222
060,024,60Cr,0.49,1.0,0.49
060,025,60Mn,0.28,1.0,0.28
060,026,60Fe,82679146120000.0,1.0,82679146120000.0
060,027,60Co,166349179.7164,1.0,166349179.7164
061,022,61Ti,0.015,1.0,0.015
061,023,61V,0.04820000000000001,1.0,0.04820000000000001
061,024,61Cr,0.243,1.0,0.243
061,025,61Mn,0.709,1.0,0.709
061,026,61Fe,358.8,1.0,358.8
061,027,61Co,5936.4,1.0,5936.4
062,023,62V,0.033600000000000005,1.0,0.033600000000000005
062,024,62Cr,0.20600000000000002,1.0,0.20600000000000002
062,026,62Fe,68.0,1.0,68.0
062,027,62Co,92.4,1.0,92.4
063,023,63V,0.019600000000000003,1.0,0.019600000000000003
063,024,63Cr,0.129,1.0,0.129
063,025,63Mn,0.275,1.0,0.275
063,026,63Fe,6.1,1.0,6.1
063,027,63Co,26.9,1.0,26.9
063,028,63Ni,3193560911.2000003,1.0,3193560911.2000003
064,023,64V,0.015,1.0,0.015
064,024,64Cr,0.043000000000000003,1.0,0.043000000000000003
064,025,64Mn,0.0888,1.0,0.0888
064,026,64Fe,2.0,1.0,2.0
064,027,64Co,0.3,1.0,0.3
064,029,64Cu,45721.44,0.3848,118818.71101871104
065,024,65Cr,0.0275,1.0,0.0275
065,025,65Mn,0.09190000000000001,1.0,0.09190000000000001
065,026,65Fe,0.805,1.0,0.805
065,027,65Co,1.16,1.0,1.16
065,028,65Ni,9063.0,1.0,9063.0
066,024,66Cr,0.0238,1.0,0.0238
066,025,66Mn,0.0638,1.0,0.0638
066,026,66Fe,0.467,1.0,0.467
066,027,66Co,0.194,1.0,0.194
066,028,66Ni,196560.0,1.0,196560.0
066,029,66Cu,307.2,1.0,307.2
067,025,67Mn,0.046700000000000005,1.0,0.046700000000000005
067,026,67Fe,0.394,1.0,0.394
067,027,67Co,0.329,1.0,0.329
067,028,67Ni,21.0,1.0,21.0
067,029,67Cu,222588.0,1.0,222588.0
068,025,68Mn,0.0337,1.0,0.0337
068,026,68Fe,0.188,1.0,0.188
068,028,68Ni,29.0,1.0,29.0
068,029,68Cu,30.9,1.0,30.9
069,025,69Mn,0.0221,1.0,0.0221
069,026,69Fe,0.162,1.0,0.162
069,028,69Ni,11.4,1.0,11.4
069,029,69Cu,171.0,1.0,171.0
069,030,69Zn,3384.0,1.0,3384.0
070,025,70Mn,0.019899999999999998,1.0,0.019899999999999998
070,026,70Fe,0.0614,1.0,0.0614
070,028,70Ni,6.0,1.0,6.0
070,029,70Cu,44.5,1.0,44.5
070,031,70Ga,1268.4,0.9959,1273.6218495832916
071,026,71Fe,0.0343,1.0,0.0343
071,027,71Co,0.08,1.0,0.08
071,028,71Ni,2.56,1.0,2.56
071,029,71Cu,19.4,1.0,19.4
071,030,71Zn,144.0,1.0,144.0
072,026,72Fe,0.017,1.0,0.017
072,028,72Ni,1.57,1.0,1.57
072,029,72Cu,6.63,1.0,6.63
072,030,72Zn,167400.0,1.0,167400.0
072,031,72Ga,50490.0,1.0,50490.0
073,026,73Fe,0.0129,1.0,0.0129
073,027,73Co,0.042,1.0,0.042
073,028,73Ni,0.84,1.0,0.84
073,029,73Cu,4.2,1.0,4.2
073,030,73Zn,24.5,1.0,24.5
073,031,73Ga,17496.0,1.0,17496.0
074,026,74Fe,0.005,1.0,0.005
074,027,74Co,0.0313,1.0,0.0313
074,028,74Ni,0.5077,1.0,0.5077
074,029,74Cu,1.606,1.0,1.606
074,030,74Zn,95.6,1.0,95.6
074,031,74Ga,487.19999999999993,1.0,487.19999999999993
074,033,74As,1535328.0,0.34,4515670.5882352935
075,027,75Co,0.0265,1.0,0.0265
075,028,75Ni,0.3316,1.0,0.3316
075,029,75Cu,1.224,1.0,1.224
075,030,75Zn,10.2,1.0,10.2
075,031,75Ga,126.0,1.0,126.0
075,032,75Ge,4966.8,1.0,4966.8
076,028,76Ni,0.2346,1.0,0.2346
076,029,76Cu,0.6377,1.0,0.6377
076,030,76Zn,5.7,1.0,5.7
076,031,76Ga,30.6,1.0,30.6
076,032,76Ge,59327020880.0,1.0,59327020880.0
076,033,76As,94461.12,1.0,94461.12
077,027,77Co,0.015,1.0,0.015
077,028,77Ni,0.1589,1.0,0.1589
077,029,77Cu,0.4703,1.0,0.4703
077,030,77Zn,2.08,1.0,2.08
077,031,77Ga,13.2,1.0,13.2
077,032,77Ge,40359.6,1.0,40359.6
077,033,77As,139644.0,1.0,139644.0
078,028,78Ni,0.1222,1.0,0.1222
078,029,78Cu,0.3307,1.0,0.3307
078,030,78Zn,1.47,1.0,1.47
078,031,78Ga,5.09,1.0,5.09
078,032,78Ge,5280.0,1.0,5280.0
078,033,78As,5442.0,1.0,5442.0
079,028,79Ni,0.044,1.0,0.044
079,029,79Cu,0.24130000000000001,1.0,0.24130000000000001
079,030,79Zn,0.746,1.0,0.746
079,031,79Ga,2.848,1.0,2.848
079,032,79Ge,18.98,1.0,18.98
079,033,79As,540.6,1.0,540.6
079,034,79Se,10319114802000.0,1.0,10319114802000.0
080,028,80Ni,0.03,1.0,0.03
080,029,80Cu,0.1133,1.0,0.1133
080,030,80Zn,0.5622,1.0,0.5622
080,032,80Ge,29.5,1.0,29.5
080,033,80As,15.2,1.0,15.2
080,035,80Br,1060.8,0.917,1156.8157033805887
081,029,81Cu,0.0732,1.0,0.0732
081,030,81Zn,0.2994,1.0,0.2994
081,031,81Ga,1.217,1.0,1.217
081,032,81Ge,9.0,1.0,9.0
081,033,81As,33.3,1.0,33.3
081,034,81Se,1107.0,1.0,1107.0
082,029,82Cu,0.034,1.0,0.034
082,030,82Zn,0.1779,1.0,0.1779
082,031,82Ga,0.6,1.0,0.6
082,032,82Ge,4.31,1.0,4.31
082,033,82As,19.1,1.0,19.1
082,034,82Se,2.7643867176e+18,1.0,2.7643867176e+18
082,035,82Br,127015.19999999998,1.0,127015.19999999998
083,030,83Zn,0.1,1.0,0.1
083,031,83Ga,0.31,1.0,0.31
083,032,83Ge,1.85,1.0,1.85
083,033,83As,13.4,1.0,13.4
083,034,83Se,1335.0,1.0,1335.0
083,035,83Br,8546.4,1.0,8546.4
084,030,84Zn,0.054,1.0,0.054
084,031,84Ga,0.09759999999999999,1.0,0.09759999999999999
084,032,84Ge,0.9510000000000001,1.0,0.9510000000000001
084,033,84As,3.16,1.0,3.16
084,034,84Se,195.6,1.0,195.6
084,035,84Br,1905.6000000000001,1.0,1905.6000000000001
084,037,84Rb,2835648.0,0.039,72708923.07692307
085,031,85Ga,0.0953,1.0,0.0953
085,032,85Ge,0.495,1.0,0.495
085,033,85As,2.022,1.0,2.022
085,034,85Se,32.9,1.0,32.9
085,035,85Br,174.0,1.0,174.0
085,036,85Kr,338542702.128,1.0,338542702.128
086,031,86Ga,0.049,1.0,0.049
086,032,86Ge,0.2216,1.0,0.2216
086,033,86As,0.9450000000000001,1.0,0.9450000000000001
086,034,86Se,14.3,1.0,14.3
086,035,86Br,55.1,1.0,55.1
087,031,87Ga,0.029,1.0,0.029
087,032,87Ge,0.10300000000000001,1.0,0.10300000000000001
087,033,87As,0.492,1.0,0.492
087,034,87Se,5.5,1.0,5.5
087,035,87Br,55.68,1.0,55.68
087,036,87Kr,4578.0,1.0,4578.0
087,037,87Rb,1.5683792222e+18,1.0,1.5683792222e+18
088,032,88Ge,0.061,1.0,0.061
088,033,88As,0.27,1.0,0.27
088,034,88Se,1.53,1.0,1.53
088,035,88Br,16.34,1.0,16.34
088,036,88Kr,10170.0,1.0,10170.0
088,037,88Rb,1066.8000000000002,1.0,1066.8000000000002
089,034,89Se,0.43,1.0,0.43
089,035,89Br,4.357,1.0,4.357
089,036,89Kr,189.0,1.0,189.0
089,037,89Rb,919.2,1.0,919.2
089,038,89Sr,4368643.2,1.0,4368643.2
090,034,90Se,0.21,1.0,0.21
090,035,90Br,1.91,1.0,1.91
090,036,90Kr,32.32,1.0,32.32
090,037,90Rb,158.0,1.0,158.0
090,038,90Sr,912310730.66,1.0,912310730.66
090,039,90Y,230580.0,1.0,230580.0
091,034,91Se,0.27,1.0,0.27
091,035,91Br,0.543,1.0,0.543
091,036,91Kr,8.57,1.0,8.57
091,037,91Rb,58.2,1.0,58.2
091,038,91Sr,34740.0,1.0,34740.0
091,039,91Y,5055264.0,1.0,5055264.0
092,035,92Br,0.314,1.0,0.314
092,036,92Kr,1.84,1.0,1.84
092,037,92Rb,4.48,1.0,4.48
092,038,92Sr,9399.6,1.0,9399.6
092,039,92Y,12744.0,1.0,12744.0
093,035,93Br,0.152,1.0,0.152
093,036,93Kr,1.287,1.0,1.287
093,037,93Rb,5.84,1.0,5.84
093,038,93Sr,445.79999999999995,1.0,445.79999999999995
093,039,93Y,36648.0,1.0,36648.0
093,040,93Zr,50806650860000.0,1.0,50806650860000.0
094,035,94Br,0.07,1.0,0.07
094,036,94Kr,0.212,1.0,0.212
094,037,94Rb,2.702,1.0,2.702
094,038,94Sr,75.3,1.0,75.3
094,039,94Y,1122.0,1.0,1122.0
094,041,94Nb,643761290400.0,1.0,643761290400.0
095,036,95Kr,0.114,1.0,0.114
095,037,95Rb,0.3777,1.0,0.3777
095,038,95Sr,23.9,1.0,23.9
095,039,95Y,618.0,1.0,618.0
095,040,95Zr,5532364.8,1.0,5532364.8
095,041,95Nb,3023222.4,1.0,3023222.4
096,036,96Kr,0.08,1.0,0.08
096,038,96Sr,1.059,1.0,1.059
096,039,96Y,5.34,1.0,5.34
096,040,96Zr,7.384320684e+17,1.0,7.384320684e+17
096,041,96Nb,84060.0,1.0,84060.0
097,036,97Kr,0.062200000000000005,1.0,0.062200000000000005
097,037,97Rb,0.1691,1.0,0.1691
097,038,97Sr,0.432,1.0,0.432
097,039,97Y,3.75,1.0,3.75
097,040,97Zr,60296.399999999994,1.0,60296.399999999994
097,041,97Nb,4326.0,1.0,4326.0
098,036,98Kr,0.0428,1.0,0.0428
098,037,98Rb,0.115,1.0,0.115
098,038,98Sr,0.653,1.0,0.653
098,039,98Y,0.548,1.0,0.548
098,040,98Zr,30.7,1.0,30.7
098,041,98Nb,2.86,1.0,2.86
098,043,98Tc,132539089200000.0,1.0,132539089200000.0
099,036,99Kr,0.04,1.0,0.04
099,037,99Rb,0.054,1.0,0.054
099,038,99Sr,0.2692,1.0,0.2692
099,039,99Y,1.484,1.0,1.484
099,040,99Zr,2.1,1.0,2.1
099,041,99Nb,15.0,1.0,15.0
099,042,99Mo,237355.2,1.0,237355.2
099,043,99Tc,6661667078600.0,1.0,6661667078600.0
100,036,100Kr,0.012,1.0,0.012
100,037,100Rb,0.0513,1.0,0.0513
100,038,100Sr,0.2021,1.0,0.2021
100,039,100Y,0.9400000000000001,1.0,0.9400000000000001
100,040,100Zr,7.1,1.0,7.1
100,041,100Nb,1.5,1.0,1.5
100,042,100Mo,2.2310746682e+17,1.0,2.2310746682e+17
101,037,101Rb,0.0318,1.0,0.0318
101,038,101Sr,0.11370000000000001,1.0,0.11370000000000001
101,039,101Y,0.426,1.0,0.426
101,040,101Zr,2.29,1.0,2.29
101,041,101Nb,7.1,1.0,7.1
101,042,101Mo,876.5999999999999,1.0,876.5999999999999
101,043,101Tc,853.2,1.0,853.2
102,037,102Rb,0.037,1.0,0.037
102,038,102Sr,0.069,1.0,0.069
102,040,102Zr,2.01,1.0,2.01
102,041,102Nb,4.3,1.0,4.3
102,042,102Mo,678.0,1.0,678.0
102,045,102Rh,17884800.0,0.22,81294545.45454545
103,037,103Rb,0.026000000000000002,1.0,0.026000000000000002
103,038,103Sr,0.053,1.0,0.053
103,039,103Y,0.23900000000000002,1.0,0.23900000000000002
103,040,103Zr,1.38,1.0,1.38
103,041,103Nb,1.34,1.0,1.34
103,042,103Mo,67.5,1.0,67.5
103,043,103Tc,54.2,1.0,54.2
103,044,103Ru,3390768.0,1.0,3390768.0
104,038,104Sr,0.0506,1.0,0.0506
104,039,104Y,0.197,1.0,0.197
104,040,104Zr,0.92,1.0,0.92
104,042,104Mo,60.0,1.0,60.0
104,043,104Tc,1098.0,1.0,1098.0
104,045,104Rh,42.3,0.9954999999999999,42.491210447011554
105,038,105Sr,0.039,1.0,0.039
105,039,105Y,0.095,1.0,0.095
105,040,105Zr,0.67,1.0,0.67
105,041,105Nb,2.91,1.0,2.91
105,042,105Mo,36.3,1.0,36.3
105,043,105Tc,458.4,1.0,458.4
105,044,105Ru,15980.4,1.0,15980.4
105,045,105Rh,127227.6,1.0,127227.6
106,038,106Sr,0.021,1.0,0.021
106,039,106Y,0.075,1.0,0.075
106,040,106Zr,0.179,1.0,0.179
106,041,106Nb,0.9,1.0,0.9
106,042,106Mo,8.73,1.0,8.73
106,043,106Tc,35.6,1.0,35.6
106,044,106Ru,32123520.0,1.0,32123520.0
106,045,106Rh,30.07,1.0,30.07
107,039,107Y,0.0335,1.0,0.0335
107,040,107Zr,0.1457,1.0,0.1457
107,041,107Nb,0.28600000000000003,1.0,0.28600000000000003
107,042,107Mo,3.5,1.0,3.5
107,043,107Tc,21.2,1.0,21.2
107,044,107Ru,225.0,1.0,225.0
107,045,107Rh,1302.0,1.0,1302.0
107,046,107Pd,205120019000000.0,1.0,205120019000000.0
108,039,108Y,0.03,1.0,0.03
108,040,108Zr,0.0785,1.0,0.0785
108,041,108Nb,0.201,1.0,0.201
108,042,108Mo,1.105,1.0,1.105
108,043,108Tc,5.17,1.0,5.17
108,044,108Ru,273.0,1.0,273.0
108,045,108Rh,16.8,1.0,16.8
108,047,108Ag,142.92000000000002,0.9715,147.11271230056616
109,039,109Y,0.025,1.0,0.025
109,040,109Zr,0.056,1.0,0.056
109,041,109Nb,0.10690000000000001,1.0,0.10690000000000001
109,042,109Mo,0.7000000000000001,1.0,0.7000000000000001
109,043,109Tc,0.905,1.0,0.905
109,044,109Ru,34.4,1.0,34.4
109,045,109Rh,80.8,1.0,80.8
109,046,109Pd,48924.0,1.0,48924.0
110,040,110Zr,0.0375,1.0,0.0375
110,042,110Mo,0.292,1.0,0.292
110,043,110Tc,0.9,1.0,0.9
110,044,110Ru,12.04,1.0,12.04
111,040,111Zr,0.024,1.0,0.024
111,041,111Nb,0.054,1.0,0.054
111,042,111Mo,0.1936,1.0,0.1936
111,043,111Tc,0.35000000000000003,1.0,0.35000000000000003
111,044,111Ru,2.12,1.0,2.12
111,045,111Rh,11.0,1.0,11.0
111,046,111Pd,1413.6,1.0,1413.6
111,047,111Ag,642211.2,1.0,642211.2
112,040,112Zr,0.043000000000000003,1.0,0.043000000000000003
112,041,112Nb,0.038,1.0,0.038
112,042,112Mo,0.125,1.0,0.125
112,043,112Tc,0.323,1.0,0.323
112,044,112Ru,1.75,1.0,1.75
112,045,112Rh,3.4,1.0,3.4
112,046,112Pd,75744.0,1.0,75744.0
112,047,112Ag,11268.0,1.0,11268.0
112,049,112In,892.8000000000001,0.38,2349.4736842105262
113,041,113Nb,0.032,1.0,0.032
113,042,113Mo,0.08,1.0,0.08
113,043,113Tc,0.152,1.0,0.152
113,044,113Ru,0.8,1.0,0.8
113,045,113Rh,2.8,1.0,2.8
113,046,113Pd,93.0,1.0,93.0
113,047,113Ag,19332.0,1.0,19332.0
113,048,113Cd,253717685039999.97,1.0,253717685039999.97
114,041,114Nb,0.017,1.0,0.017
114,042,114Mo,0.058,1.0,0.058
114,044,114Ru,0.54,1.0,0.54
114,046,114Pd,145.2,1.0,145.2
114,047,114Ag,4.6,1.0,4.6
114,049,114In,71.9,0.995,72.26130653266333
115,041,115Nb,0.023,1.0,0.023
115,042,115Mo,0.0455,1.0,0.0455
115,043,115Tc,0.078,1.0,0.078
115,044,115Ru,0.318,1.0,0.318
115,045,115Rh,1.03,1.0,1.03
115,046,115Pd,25.0,1.0,25.0
115,047,115Ag,1200.0,1.0,1200.0
115,048,115Cd,192456.0,1.0,192456.0
115,049,115In,13916604366000.0,1.0,13916604366000.0
116,042,116Mo,0.032,1.0,0.032
116,043,116Tc,0.057,1.0,0.057
116,044,116Ru,0.20400000000000001,1.0,0.20400000000000001
116,046,116Pd,11.8,1.0,11.8
116,047,116Ag,229.8,1.0,229.8
116,048,116Cd,8.488813094e+17,1.0,8.488813094e+17
117,042,117Mo,0.022,1.0,0.022
117,043,117Tc,0.0445,1.0,0.0445
117,044,117Ru,0.151,1.0,0.151
117,045,117Rh,0.421,1.0,0.421
117,046,117Pd,4.3,1.0,4.3
117,047,117Ag,73.6,1.0,73.6
117,048,117Cd,9010.800000000001,1.0,9010.800000000001
117,049,117In,2592.0,1.0,2592.0
118,042,118Mo,0.021,1.0,0.021
118,043,118Tc,0.03,1.0,0.03
118,044,118Ru,0.099,1.0,0.099
118,046,118Pd,1.9,1.0,1.9
118,047,118Ag,3.76,1.0,3.76
118,048,118Cd,3018.0,1.0,3018.0
119,043,119Tc,0.022,1.0,0.022
