Mass Number,Atomic Number,Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (s)
119,044,119Ru,0.0695,1.0,0.0695
119,045,119Rh,0.19,1.0,0.19
119,046,119Pd,0.92,1.0,0.92
119,048,119Cd,161.4,1.0,161.4
119,049,119In,144.0,1.0,144.0
120,043,120Tc,0.021,1.0,0.021
120,044,120Ru,0.045,1.0,0.045
120,045,120Rh,0.1296,1.0,0.1296
120,046,120Pd,0.492,1.0,0.492
120,048,120Cd,50.8,1.0,50.8
121,043,121Tc,0.022,1.0,0.022
121,044,121Ru,0.029,1.0,0.029
121,045,121Rh,0.074,1.0,0.074
121,046,121Pd,0.29,1.0,0.29
121,048,121Cd,13.5,1.0,13.5
121,049,121In,23.1,1.0,23.1
121,050,121Sn,97308.0,1.0,97308.0
122,044,122Ru,0.025,1.0,0.025
122,045,122Rh,0.051000000000000004,1.0,0.051000000000000004
122,046,122Pd,0.193,1.0,0.193
122,048,122Cd,5.24,1.0,5.24
122,051,122Sb,235336.32,0.9759,241147.986474024
123,044,123Ru,0.019,1.0,0.019
123,045,123Rh,0.042,1.0,0.042
123,046,123Pd,0.108,1.0,0.108
123,047,123Ag,0.294,1.0,0.294
123,048,123Cd,2.1,1.0,2.1
123,049,123In,6.17,1.0,6.17
123,050,123Sn,11162879.999999998,1.0,11162879.999999998
124,044,124Ru,0.015,1.0,0.015
124,045,124Rh,0.03,1.0,0.03
124,046,124Pd,0.088,1.0,0.088
124,048,124Cd,1.25,1.0,1.25
124,051,124Sb,5201280.0,1.0,5201280.0
125,045,125Rh,0.0265,1.0,0.0265
125,046,125Pd,0.06,1.0,0.06
125,047,125Ag,0.16,1.0,0.16
125,048,125Cd,0.68,1.0,0.68
125,049,125In,2.36,1.0,2.36
125,050,125Sn,832377.6,1.0,832377.6
125,051,125Sb,87021379.1376,1.0,87021379.1376
126,045,126Rh,0.019,1.0,0.019
126,046,126Pd,0.048600000000000004,1.0,0.048600000000000004
126,047,126Ag,0.052000000000000005,1.0,0.052000000000000005
126,048,126Cd,0.512,1.0,0.512
126,049,126In,1.53,1.0,1.53
126,050,126Sn,7258092980000.0,1.0,7258092980000.0
126,051,126Sb,1067040.0,1.0,1067040.0
126,053,126I,1117152.0,0.473,2361843.5517970403
127,045,127Rh,0.028,1.0,0.028
127,046,127Pd,0.038,1.0,0.038
127,048,127Cd,0.48,1.0,0.48
127,049,127In,1.086,1.0,1.086
127,050,127Sn,7560.0,1.0,7560.0
127,051,127Sb,332640.0,1.0,332640.0
127,052,127Te,33660.0,1.0,33660.0
128,046,128Pd,0.035,1.0,0.035
128,047,128Ag,0.06,1.0,0.06
128,048,128Cd,0.246,1.0,0.246
128,049,128In,0.8160000000000001,1.0,0.8160000000000001
128,050,128Sn,3544.2,1.0,3544.2
128,052,128Te,71003083500000.0,1.0,71003083500000.0
128,053,128I,1499.3999999999999,0.9309999999999999,1610.5263157894738
129,046,129Pd,0.031,1.0,0.031
129,048,129Cd,0.147,1.0,0.147
129,049,129In,0.5700000000000001,1.0,0.5700000000000001
129,050,129Sn,133.8,1.0,133.8
129,051,129Sb,15717.599999999999,1.0,15717.599999999999
129,052,129Te,4176.0,1.0,4176.0
129,053,129I,509328785640000.0,1.0,509328785640000.0
130,047,130Ag,0.040600000000000004,1.0,0.040600000000000004
130,048,130Cd,0.1268,1.0,0.1268
130,050,130Sn,223.20000000000002,1.0,223.20000000000002
130,051,130Sb,2370.0,1.0,2370.0
130,052,130Te,2.4961528466e+19,1.0,2.4961528466e+19
130,053,130I,44496.0,1.0,44496.0
130,055,130Cs,1752.6000000000001,0.016,109537.5
131,047,131Ag,0.035,1.0,0.035
131,048,131Cd,0.098,1.0,0.098
131,049,131In,0.2615,1.0,0.2615
131,050,131Sn,56.0,1.0,56.0
131,051,131Sb,1381.8000000000002,1.0,1381.8000000000002
131,052,131Te,1500.0,1.0,1500.0
131,053,131I,693351.3600000001,1.0,693351.3600000001
132,047,132Ag,0.03,1.0,0.03
132,048,132Cd,0.084,1.0,0.084
132,049,132In,0.2022,1.0,0.2022
132,050,132Sn,39.7,1.0,39.7
132,051,132Sb,167.4,1.0,167.4
132,052,132Te,276825.60000000003,1.0,276825.60000000003
132,053,132I,8262.0,1.0,8262.0
132,055,132Cs,559872.0,0.0187,29939679.144385025
133,048,133Cd,0.061,1.0,0.061
133,049,133In,0.163,1.0,0.163
133,050,133Sn,1.37,1.0,1.37
133,051,133Sb,140.39999999999998,1.0,140.39999999999998
133,052,133Te,750.0,1.0,750.0
133,053,133I,74988.0,1.0,74988.0
133,054,133Xe,453375.36,1.0,453375.36
134,048,134Cd,0.065,1.0,0.065
134,049,134In,0.136,1.0,0.136
134,050,134Sn,0.93,1.0,0.93
134,051,134Sb,0.674,1.0,0.674
134,052,134Te,2508.0,1.0,2508.0
134,053,134I,3150.0,1.0,3150.0
134,055,134Cs,65165052.19,1.0,65165052.19
135,049,135In,0.10300000000000001,1.0,0.10300000000000001
135,050,135Sn,0.515,1.0,0.515
135,051,135Sb,1.668,1.0,1.668
135,052,135Te,19.0,1.0,19.0
135,053,135I,23688.0,1.0,23688.0
135,054,135Xe,32904.0,1.0,32904.0
135,055,135Cs,41970711580000.0,1.0,41970711580000.0
136,049,136In,0.08600000000000001,1.0,0.08600000000000001
136,050,136Sn,0.355,1.0,0.355
136,051,136Sb,0.923,1.0,0.923
136,052,136Te,17.63,1.0,17.63
136,053,136I,83.4,1.0,83.4
136,054,136Xe,68794098680.0,1.0,68794098680.0
136,055,136Cs,1124064.0,1.0,1124064.0
137,049,137In,0.07,1.0,0.07
137,050,137Sn,0.249,1.0,0.249
137,051,137Sb,0.497,1.0,0.497
137,052,137Te,2.49,1.0,2.49
137,053,137I,24.13,1.0,24.13
137,054,137Xe,229.08,1.0,229.08
137,055,137Cs,947970057.04,1.0,947970057.04
138,050,138Sn,0.148,1.0,0.148
138,051,138Sb,0.333,1.0,0.333
138,052,138Te,1.46,1.0,1.46
138,053,138I,6.26,1.0,6.26
138,054,138Xe,848.4000000000001,1.0,848.4000000000001
138,055,138Cs,2010.0,1.0,2010.0
138,057,138La,3.250363378e+18,0.345,9.421343124637682e+18
139,050,139Sn,0.12,1.0,0.12
139,051,139Sb,0.182,1.0,0.182
139,052,139Te,0.724,1.0,0.724
139,053,139I,2.28,1.0,2.28
139,054,139Xe,39.68,1.0,39.68
139,055,139Cs,556.1999999999999,1.0,556.1999999999999
139,056,139Ba,4975.8,1.0,4975.8
140,051,140Sb,0.17,1.0,0.17
140,052,140Te,0.35100000000000003,1.0,0.35100000000000003
140,053,140I,0.588,1.0,0.588
140,054,140Xe,13.6,1.0,13.6
140,055,140Cs,63.7,1.0,63.7
140,056,140Ba,1101893.76,1.0,1101893.76
140,057,140La,145040.4,1.0,145040.4
141,051,141Sb,0.10300000000000001,1.0,0.10300000000000001
141,052,141Te,0.193,1.0,0.193
141,053,141I,0.42,1.0,0.42
141,054,141Xe,1.73,1.0,1.73
141,055,141Cs,24.84,1.0,24.84
141,056,141Ba,1096.2,1.0,1096.2
141,057,141La,14112.0,1.0,14112.0
141,058,141Ce,2808432.0,1.0,2808432.0
142,051,142Sb,0.08,1.0,0.08
142,052,142Te,0.147,1.0,0.147
142,053,142I,0.23500000000000001,1.0,0.23500000000000001
142,054,142Xe,1.23,1.0,1.23
142,055,142Cs,1.687,1.0,1.687
142,056,142Ba,636.0,1.0,636.0
142,057,142La,5466.0,1.0,5466.0
143,052,143Te,0.12,1.0,0.12
143,053,143I,0.182,1.0,0.182
143,054,143Xe,0.511,1.0,0.511
143,055,143Cs,1.802,1.0,1.802
143,056,143Ba,14.5,1.0,14.5
143,057,143La,852.0,1.0,852.0
143,058,143Ce,118940.40000000001,1.0,118940.40000000001
143,059,143Pr,1172448.0,1.0,1172448.0
144,052,144Te,0.093,1.0,0.093
144,053,144I,0.094,1.0,0.094
144,054,144Xe,0.388,1.0,0.388
144,055,144Cs,0.994,1.0,0.994
144,056,144Ba,11.73,1.0,11.73
144,057,144La,44.0,1.0,44.0
144,058,144Ce,24614150.400000002,1.0,24614150.400000002
144,059,144Pr,1036.8000000000002,1.0,1036.8000000000002
145,053,145I,0.0897,1.0,0.0897
145,054,145Xe,0.188,1.0,0.188
145,055,145Cs,0.582,1.0,0.582
145,056,145Ba,4.31,1.0,4.31
145,057,145La,24.8,1.0,24.8
145,058,145Ce,180.6,1.0,180.6
145,059,145Pr,21542.4,1.0,21542.4
146,053,146I,0.094,1.0,0.094
146,054,146Xe,0.146,1.0,0.146
146,055,146Cs,0.32160000000000005,1.0,0.32160000000000005
146,056,146Ba,2.15,1.0,2.15
146,058,146Ce,809.4,1.0,809.4
146,059,146Pr,1445.4,1.0,1445.4
146,061,146Pm,174509800.78,0.34,513264119.9411764
147,054,147Xe,0.088,1.0,0.088
147,055,147Cs,0.2305,1.0,0.2305
147,056,147Ba,0.893,1.0,0.893
147,057,147La,4.026,1.0,4.026
147,058,147Ce,56.4,1.0,56.4
147,059,147Pr,803.4000000000001,1.0,803.4000000000001
147,060,147Nd,948672.0,1.0,948672.0
147,061,147Pm,82786439.6684,1.0,82786439.6684
148,054,148Xe,0.085,1.0,0.085
148,055,148Cs,0.15180000000000002,1.0,0.15180000000000002
148,056,148Ba,0.62,1.0,0.62
148,057,148La,1.414,1.0,1.414
148,058,148Ce,56.8,1.0,56.8
148,059,148Pr,137.4,1.0,137.4
148,061,148Pm,463795.2,1.0,463795.2
149,055,149Cs,0.1123,1.0,0.1123
149,056,149Ba,0.34900000000000003,1.0,0.34900000000000003
149,057,149La,1.071,1.0,1.071
149,058,149Ce,4.94,1.0,4.94
149,059,149Pr,135.6,1.0,135.6
149,060,149Nd,6220.8,1.0,6220.8
149,061,149Pm,191088.0,1.0,191088.0
150,055,150Cs,0.081,1.0,0.081
150,056,150Ba,0.258,1.0,0.258
150,057,150La,0.504,1.0,0.504
150,058,150Ce,6.05,1.0,6.05
150,059,150Pr,6.19,1.0,6.19
150,060,150Nd,2.934794118e+17,1.0,2.934794118e+17
150,061,150Pm,9712.8,1.0,9712.8
151,055,151Cs,0.059000000000000004,1.0,0.059000000000000004
151,056,151Ba,0.167,1.0,0.167
151,057,151La,0.465,1.0,0.465
151,058,151Ce,1.76,1.0,1.76
151,059,151Pr,18.9,1.0,18.9
151,060,151Nd,746.4,1.0,746.4
151,061,151Pm,102240.0,1.0,102240.0
151,062,151Sm,2985285199.6,1.0,2985285199.6
152,056,152Ba,0.139,1.0,0.139
152,057,152La,0.28700000000000003,1.0,0.28700000000000003
152,058,152Ce,1.42,1.0,1.42
152,059,152Pr,3.57,1.0,3.57
152,060,152Nd,684.0,1.0,684.0
152,063,152Eu,426554968.742,0.2792,1527775676.0100286
153,056,153Ba,0.113,1.0,0.113
153,057,153La,0.245,1.0,0.245
153,058,153Ce,0.865,1.0,0.865
153,059,153Pr,4.28,1.0,4.28
153,060,153Nd,31.6,1.0,31.6
153,061,153Pm,315.0,1.0,315.0
153,062,153Sm,166624.56,1.0,166624.56
154,056,154Ba,0.053,1.0,0.053
154,057,154La,0.161,1.0,0.161
154,058,154Ce,0.722,1.0,0.722
154,059,154Pr,2.3,1.0,2.3
154,060,154Nd,25.9,1.0,25.9
154,063,154Eu,271137108.19200003,0.99982,271185921.6578984
155,057,155La,0.101,1.0,0.101
155,058,155Ce,0.313,1.0,0.313
155,059,155Pr,1.47,1.0,1.47
155,060,155Nd,8.9,1.0,8.9
155,061,155Pm,41.5,1.0,41.5
155,062,155Sm,1330.8,1.0,1330.8
155,063,155Eu,149642943.092,1.0,149642943.092
156,057,156La,0.084,1.0,0.084
156,058,156Ce,0.233,1.0,0.233
156,059,156Pr,0.444,1.0,0.444
156,060,156Nd,5.06,1.0,5.06
156,061,156Pm,27.4,1.0,27.4
156,062,156Sm,33840.0,1.0,33840.0
156,063,156Eu,1312416.0,1.0,1312416.0
157,058,157Ce,0.17500000000000002,1.0,0.17500000000000002
157,059,157Pr,0.307,1.0,0.307
157,060,157Nd,1.15,1.0,1.15
157,061,157Pm,10.56,1.0,10.56
157,062,157Sm,481.79999999999995,1.0,481.79999999999995
157,063,157Eu,54648.0,1.0,54648.0
158,058,158Ce,0.099,1.0,0.099
158,059,158Pr,0.181,1.0,0.181
158,060,158Nd,0.81,1.0,0.81
158,061,158Pm,4.8,1.0,4.8
158,062,158Sm,318.0,1.0,318.0
158,063,158Eu,2754.0,1.0,2754.0
158,065,158Tb,5680246680.0,0.166,34218353493.975903
159,059,159Pr,0.134,1.0,0.134
159,060,159Nd,0.5,1.0,0.5
159,061,159Pm,1.49,1.0,1.49
159,062,159Sm,11.37,1.0,11.37
159,063,159Eu,1086.0,1.0,1086.0
159,064,159Gd,66524.4,1.0,66524.4
160,059,160Pr,0.17,1.0,0.17
160,060,160Nd,0.439,1.0,0.439
160,061,160Pm,0.725,1.0,0.725
160,062,160Sm,9.6,1.0,9.6
160,063,160Eu,42.6,1.0,42.6
160,065,160Tb,6246720.0,1.0,6246720.0
161,060,161Nd,0.215,1.0,0.215
161,061,161Pm,1.05,1.0,1.05
161,062,161Sm,4.8,1.0,4.8
161,063,161Eu,26.2,1.0,26.2
161,064,161Gd,218.76,1.0,218.76
161,065,161Tb,600307.2000000001,1.0,600307.2000000001
162,060,162Nd,0.31,1.0,0.31
162,061,162Pm,0.63,1.0,0.63
162,062,162Sm,2.7,1.0,2.7
162,064,162Gd,504.0,1.0,504.0
162,065,162Tb,456.0,1.0,456.0
163,061,163Pm,0.255,1.0,0.255
163,062,163Sm,1.3,1.0,1.3
163,063,163Eu,7.7,1.0,7.7
163,064,163Gd,68.0,1.0,68.0
163,065,163Tb,1170.0,1.0,1170.0
164,062,164Sm,1.43,1.0,1.43
164,063,164Eu,4.16,1.0,4.16
164,064,164Gd,45.0,1.0,45.0
164,065,164Tb,180.0,1.0,180.0
165,062,165Sm,0.98,1.0,0.98
165,063,165Eu,2.53,1.0,2.53
165,064,165Gd,11.6,1.0,11.6
165,065,165Tb,126.6,1.0,126.6
165,066,165Dy,8395.199999999999,1.0,8395.199999999999
166,062,166Sm,0.8,1.0,0.8
166,063,166Eu,1.24,1.0,1.24
166,064,166Gd,5.1,1.0,5.1
166,065,166Tb,27.1,1.0,27.1
166,066,166Dy,293760.0,1.0,293760.0
166,067,166Ho,96523.2,1.0,96523.2
167,063,167Eu,1.33,1.0,1.33
167,064,167Gd,4.2,1.0,4.2
167,065,167Tb,18.9,1.0,18.9
167,066,167Dy,372.0,1.0,372.0
167,067,167Ho,11160.0,1.0,11160.0
168,063,168Eu,0.2,1.0,0.2
168,064,168Gd,3.03,1.0,3.03
168,065,168Tb,9.4,1.0,9.4
168,066,168Dy,522.0,1.0,522.0
168,067,168Ho,179.4,1.0,179.4
168,069,168Tm,8043839.999999999,0.0001,80438399999.99998
169,064,169Gd,0.75,1.0,0.75
169,065,169Tb,5.13,1.0,5.13
169,066,169Dy,39.0,1.0,39.0
169,067,169Ho,283.2,1.0,283.2
169,068,169Er,811468.7999999999,1.0,811468.7999999999
170,064,170Gd,0.42,1.0,0.42
170,065,170Tb,0.96,1.0,0.96
170,066,170Dy,54.9,1.0,54.9
170,069,170Tm,11111040.0,0.99869,11125614.555067139
171,065,171Tb,1.23,1.0,1.23
171,066,171Dy,4.07,1.0,4.07
171,067,171Ho,53.0,1.0,53.0
171,068,171Er,27057.6,1.0,27057.6
171,069,171Tm,60589297.919999994,1.0,60589297.919999994
172,065,172Tb,0.76,1.0,0.76
172,066,172Dy,3.4,1.0,3.4
172,067,172Ho,25.0,1.0,25.0
172,068,172Er,177480.0,1.0,177480.0
172,069,172Tm,228960.0,1.0,228960.0
173,066,173Dy,1.43,1.0,1.43
173,067,173Ho,7.1,1.0,7.1
173,068,173Er,86.03999999999999,1.0,86.03999999999999
173,069,173Tm,29664.0,1.0,29664.0
174,067,174Ho,3.7,1.0,3.7
174,068,174Er,192.0,1.0,192.0
174,069,174Tm,324.0,1.0,324.0
175,067,175Ho,1.88,1.0,1.88
175,068,175Er,72.0,1.0,72.0
175,069,175Tm,912.0,1.0,912.0
175,070,175Yb,361583.99999999994,1.0,361583.99999999994
176,069,176Tm,111.0,1.0,111.0
176,071,176Lu,1.16792183126e+18,1.0,1.16792183126e+18
177,070,177Yb,6879.6,1.0,6879.6
177,071,177Lu,574067.52,1.0,574067.52
178,070,178Yb,4440.0,1.0,4440.0
178,071,178Lu,1704.0,1.0,1704.0
179,070,179Yb,480.0,1.0,480.0
179,071,179Lu,16524.0,1.0,16524.0
180,070,180Yb,144.0,1.0,144.0
180,071,180Lu,342.0,1.0,342.0
180,073,180Ta,29354.4,0.15,195696.00000000003
181,071,181Lu,210.0,1.0,210.0
181,072,181Hf,3662496.0,1.0,3662496.0
182,071,182Lu,120.0,1.0,120.0
182,072,182Hf,280856641400000.0,1.0,280856641400000.0
182,073,182Ta,9913536.0,1.0,9913536.0
183,071,183Lu,58.0,1.0,58.0
183,072,183Hf,3664.8,1.0,3664.8
183,073,183Ta,440639.99999999994,1.0,440639.99999999994
184,071,184Lu,20.0,1.0,20.0
184,072,184Hf,14832.0,1.0,14832.0
184,073,184Ta,31319.999999999996,1.0,31319.999999999996
185,072,185Hf,210.0,1.0,210.0
185,073,185Ta,2964.0,1.0,2964.0
185,074,185W,6488639.999999999,1.0,6488639.999999999
186,072,186Hf,156.0,1.0,156.0
186,073,186Ta,630.0,1.0,630.0
186,075,186Re,321278.4,0.9253,347215.3896033719
187,073,187Ta,138.0,1.0,138.0
187,074,187W,85712.40000000001,1.0,85712.40000000001
187,075,187Re,1.3127681216e+18,1.0,1.3127681216e+18
188,073,188Ta,19.6,1.0,19.6
188,074,188W,6028128.0,1.0,6028128.0
188,075,188Re,61218.0,1.0,61218.0
189,074,189W,696.0,1.0,696.0
189,075,189Re,87480.0,1.0,87480.0
190,073,190Ta,5.3,1.0,5.3
190,074,190W,1800.0,1.0,1800.0
190,075,190Re,180.0,1.0,180.0
191,075,191Re,588.0,1.0,588.0
191,076,191Os,1295136.0,1.0,1295136.0
192,073,192Ta,2.2,1.0,2.2
192,075,192Re,15.4,1.0,15.4
192,077,192Ir,6378047.999999999,0.9523999999999999,6696816.463670726
193,076,193Os,107388.0,1.0,107388.0
194,075,194Re,5.0,1.0,5.0
194,076,194Os,189341556.0,1.0,189341556.0
194,077,194Ir,69660.0,1.0,69660.0
195,075,195Re,6.0,1.0,6.0
195,076,195Os,390.0,1.0,390.0
195,077,195Ir,8244.0,1.0,8244.0
196,076,196Os,2094.0,1.0,2094.0
196,077,196Ir,52.0,1.0,52.0
196,079,196Au,532656.0,0.07,7609371.428571428
197,076,197Os,93.0,1.0,93.0
197,077,197Ir,348.0,1.0,348.0
197,078,197Pt,71609.40000000001,1.0,71609.40000000001
198,076,198Os,125.0,1.0,125.0
198,077,198Ir,8.7,1.0,8.7
198,079,198Au,232816.896,1.0,232816.896
199,076,199Os,6.0,1.0,6.0
199,077,199Ir,7.0,1.0,7.0
199,078,199Pt,1848.0,1.0,1848.0
199,079,199Au,271209.6,1.0,271209.6
200,076,200Os,7.0,1.0,7.0
200,077,200Ir,43.0,1.0,43.0
200,078,200Pt,45360.0,1.0,45360.0
200,079,200Au,2904.0,1.0,2904.0
201,077,201Ir,21.0,1.0,21.0
201,078,201Pt,150.0,1.0,150.0
201,079,201Au,1560.0,1.0,1560.0
202,077,202Ir,11.0,1.0,11.0
202,078,202Pt,158400.0,1.0,158400.0
202,079,202Au,28.4,1.0,28.4
203,078,203Pt,22.0,1.0,22.0
203,079,203Au,60.0,1.0,60.0
203,080,203Hg,4027104.0,1.0,4027104.0
204,078,204Pt,10.3,1.0,10.3
204,079,204Au,38.3,1.0,38.3
204,081,204Tl,119379851.058,0.9708,122970592.35475896
205,079,205Au,32.0,1.0,32.0
205,080,205Hg,308.4,1.0,308.4
206,079,206Au,47.0,1.0,47.0
206,080,206Hg,499.20000000000005,1.0,499.20000000000005
206,081,206Tl,252.12,1.0,252.12
207,080,207Hg,174.0,1.0,174.0
207,081,207Tl,286.2,1.0,286.2
208,080,208Hg,135.0,1.0,135.0
208,081,208Tl,183.18,1.0,183.18
209,080,209Hg,6.3,1.0,6.3
209,081,209Tl,129.72,1.0,129.72
209,082,209Pb,11646.0,1.0,11646.0
210,080,210Hg,64.0,1.0,64.0
210,081,210Tl,78.0,1.0,78.0
210,082,210Pb,700563757.1999999,1.0,700563757.1999999
210,083,210Bi,433036.8,1.0,433036.8
211,080,211Hg,26.4,1.0,26.4
211,081,211Tl,81.0,1.0,81.0
211,082,211Pb,2169.768,1.0,2169.768
211,083,211Bi,128.4,0.0027600000000000003,46521.73913043478
212,081,212Tl,31.0,1.0,31.0
212,082,212Pb,38257.200000000004,1.0,38257.200000000004
212,083,212Bi,3633.0,0.6406000000000001,5671.245707149546
213,081,213Tl,23.8,1.0,23.8
213,082,213Pb,612.0,1.0,612.0
213,083,213Bi,2736.0,0.9791,2794.4030231845572
214,081,214Tl,11.0,1.0,11.0
214,082,214Pb,1623.6,1.0,1623.6
214,083,214Bi,1194.0,0.99979,1194.25079266646
215,081,215Tl,9.7,1.0,9.7
215,082,215Pb,142.0,1.0,142.0
215,083,215Bi,457.2,1.0,457.2
215,084,215Po,0.001781,0.023,0.07743478260869566
216,081,216Tl,5.9,1.0,5.9
216,082,216Pb,99.6,1.0,99.6
217,082,217Pb,19.9,1.0,19.9
217,083,217Bi,98.5,1.0,98.5
217,084,217Po,1.53,0.025,61.199999999999996
217,085,217At,0.032600000000000004,8e-05,407.5
218,082,218Pb,14.8,1.0,14.8
218,083,218Bi,33.0,1.0,33.0
218,084,218Po,185.82,0.0002,929099.9999999999
219,083,219Bi,8.7,1.0,8.7
219,084,219Po,618.0,0.718,860.7242339832869
219,085,219At,56.0,0.064,875.0
220,083,220Bi,9.5,1.0,9.5
220,085,220At,222.6,0.92,241.9565217391304
220,087,220Fr,27.4,0.0034999999999999996,7828.571428571429
221,084,221Po,132.0,1.0,132.0
221,085,221At,138.0,1.0,138.0
221,086,221Rn,1542.0,0.78,1976.923076923077
221,087,221Fr,288.06,4.7999999999999994e-05,6001250.000000001
222,084,222Po,546.0,1.0,546.0
222,085,222At,54.0,1.0,54.0
222,087,222Fr,852.0,1.0,852.0
223,086,223Rn,1458.0,1.0,1458.0
224,085,224At,150.0,1.0,150.0
224,086,224Rn,6420.0,1.0,6420.0
224,087,224Fr,199.8,1.0,199.8
225,086,225Rn,279.6,1.0,279.6
225,087,225Fr,237.0,1.0,237.0
225,088,225Ra,1280448.0,1.0,1280448.0
226,086,226Rn,444.0,1.0,444.0
226,087,226Fr,48.5,1.0,48.5
226,089,226Ac,105732.0,0.83,127387.95180722892
227,086,227Rn,20.2,1.0,20.2
227,087,227Fr,148.20000000000002,1.0,148.20000000000002
227,088,227Ra,2532.0,1.0,2532.0
227,089,227Ac,687057392.872,0.9862000000000001,696671459.0062867
228,086,228Rn,65.0,1.0,65.0
228,087,228Fr,38.0,1.0,38.0
228,088,228Ra,181452324.5,1.0,181452324.5
228,089,228Ac,22140.0,1.0,22140.0
229,086,229Rn,11.9,1.0,11.9
229,087,229Fr,50.2,1.0,50.2
229,088,229Ra,240.0,1.0,240.0
229,089,229Ac,3762.0,1.0,3762.0
230,087,230Fr,19.1,1.0,19.1
230,088,230Ra,5580.0,1.0,5580.0
230,089,230Ac,122.0,1.0,122.0
230,091,230Pa,1503359.9999999998,0.078,19273846.153846152
231,087,231Fr,17.6,1.0,17.6
231,088,231Ra,104.0,1.0,104.0
231,089,231Ac,450.0,1.0,450.0
231,090,231Th,91872.0,1.0,91872.0
232,087,232Fr,5.5,1.0,5.5
232,088,232Ra,240.0,1.0,240.0
232,089,232Ac,118.8,1.0,118.8
233,087,233Fr,0.9,1.0,0.9
233,088,233Ra,30.0,1.0,30.0
233,089,233Ac,143.0,1.0,143.0
233,090,233Th,1309.8,1.0,1309.8
233,091,233Pa,2330640.0,1.0,2330640.0
234,088,234Ra,30.0,1.0,30.0
234,089,234Ac,45.0,1.0,45.0
234,090,234Th,2082844.8,1.0,2082844.8
234,091,234Pa,24120.0,1.0,24120.0
235,089,235Ac,62.0,1.0,62.0
235,090,235Th,432.0,1.0,432.0
235,091,235Pa,1464.0,1.0,1464.0
236,089,236Ac,270.0,1.0,270.0
236,090,236Th,2238.0,1.0,2238.0
236,091,236Pa,546.0,1.0,546.0
237,090,237Th,288.0,1.0,288.0
237,091,237Pa,522.0,1.0,522.0
237,092,237U,583372.7999999999,1.0,583372.7999999999
238,090,238Th,564.0,1.0,564.0
238,091,238Pa,136.79999999999998,1.0,136.79999999999998
238,092,238U,1.40838560738e+17,0.022000000000000002,6.401752760818181e+18
238,093,238Np,181353.6,1.0,181353.6
239,091,239Pa,6480.0,1.0,6480.0
239,092,239U,1407.0,1.0,1407.0
239,093,239Np,203558.4,1.0,203558.4
240,092,240U,50760.0,1.0,50760.0
241,093,241Np,834.0,1.0,834.0
242,092,242U,1008.0,1.0,1008.0
242,095,242Am,57672.0,0.8270000000000001,69736.39661426844
243,093,243Np,111.0,1.0,111.0
243,094,243Pu,17839.08,1.0,17839.08
244,093,244Np,137.4,1.0,137.4
244,095,244Am,36036.0,1.0,36036.0
245,094,245Pu,37800.0,1.0,37800.0
245,095,245Am,7379.999999999999,1.0,7379.999999999999
246,094,246Pu,936576.0,1.0,936576.0
246,095,246Am,2340.0,1.0,2340.0
247,094,247Pu,196128.0,1.0,196128.0
247,095,247Am,1380.0,1.0,1380.0
249,096,249Cm,3849.0000000000005,1.0,3849.0000000000005
250,097,250Bk,11563.2,1.0,11563.2
251,096,251Cm,1008.0,1.0,1008.0
251,097,251Bk,3336.0,1.0,3336.0
253,098,253Cf,1538784.0,0.9969,1543569.064098706
254,099,254Es,23820480.0,0.0174,1368993103.448276
255,098,255Cf,5100.0,1.0,5100.0
255,099,255Es,3438719.9999999995,0.92,3737739.130434782
257,099,257Es,665280.0,1.0,665280.0
